               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099091,            0.040424,            0.043293,             0.24999,             0.25929,            0.082385,            0.025523,            0.063847,            0.036121,            0.034322,            0.070316,           0.0032982,           0.0032982
                   1,            0.066158,             0.03407,            0.035419,             0.49328,             0.28433,             0.13698,            0.057789,            0.056098,             0.02569,            0.032856,            0.039988,           0.0063033,           0.0063033
                   2,            0.061759,            0.032078,            0.035158,             0.53425,             0.35098,             0.18524,            0.082023,            0.045283,            0.024803,              0.0324,           0.0093293,           0.0089784,           0.0089784
                   3,            0.053745,            0.029873,            0.034577,             0.54873,             0.35637,             0.19712,            0.081932,            0.042084,            0.023642,            0.031998,            0.008515,            0.008515,            0.008515
                   4,            0.048593,            0.028424,            0.034305,             0.59335,             0.39983,             0.27093,             0.13184,            0.036743,            0.022468,            0.031229,            0.008515,            0.008515,            0.008515
                   5,            0.043995,             0.02781,            0.032785,             0.62568,             0.38402,             0.29303,             0.14527,            0.036661,            0.022176,            0.030344,             0.00802,             0.00802,             0.00802
                   6,            0.041929,            0.027178,            0.032223,             0.66192,             0.40252,             0.32648,             0.17937,            0.033441,            0.021461,            0.029124,            0.007525,            0.007525,            0.007525
                   7,            0.039758,              0.0269,            0.031166,             0.35618,             0.51227,             0.36091,             0.17233,            0.032481,            0.021738,            0.028305,             0.00703,             0.00703,             0.00703
                   8,            0.039097,            0.026118,            0.030214,             0.39017,             0.49589,             0.38495,             0.19694,            0.032332,             0.02154,            0.027735,            0.006535,            0.006535,            0.006535
                   9,            0.037359,            0.026708,            0.028829,             0.66748,             0.44849,             0.42943,             0.23829,            0.030889,            0.021314,            0.025491,             0.00604,             0.00604,             0.00604
                  10,            0.037137,            0.026144,            0.027377,             0.68906,             0.46386,             0.47717,             0.25439,            0.030599,            0.021224,             0.02456,            0.005545,            0.005545,            0.005545
                  11,            0.036284,            0.025615,            0.025565,             0.77727,             0.46826,             0.51169,             0.28276,              0.0304,            0.021263,            0.023002,             0.00505,             0.00505,             0.00505
                  12,              0.0351,            0.026224,             0.02346,             0.74238,             0.47452,             0.52661,             0.30016,            0.030365,            0.021234,             0.02008,            0.004555,            0.004555,            0.004555
                  13,            0.035056,            0.026112,            0.021343,             0.78555,             0.51293,             0.54847,             0.32012,            0.029281,            0.021144,            0.018921,             0.00406,             0.00406,             0.00406
                  14,             0.03432,            0.025587,            0.019928,             0.82477,             0.50787,             0.57841,             0.33771,            0.028755,            0.020868,            0.016609,            0.003565,            0.003565,            0.003565
                  15,            0.033728,            0.025697,            0.018576,              0.8161,               0.522,             0.60728,             0.35617,            0.028885,            0.020789,            0.015299,             0.00307,             0.00307,             0.00307
                  16,            0.033012,            0.024381,            0.018011,             0.81499,             0.52817,              0.6016,             0.35721,            0.028333,            0.020666,            0.015359,            0.002575,            0.002575,            0.002575
                  17,            0.033032,             0.02565,            0.016896,             0.62577,              0.6097,             0.62521,             0.37622,            0.028062,            0.020648,            0.014476,             0.00208,             0.00208,             0.00208
                  18,            0.032414,            0.025518,            0.016226,             0.68312,             0.59902,             0.63525,             0.38476,            0.027918,            0.020536,             0.01453,            0.001585,            0.001585,            0.001585
                  19,            0.031946,            0.024901,            0.015912,             0.66532,             0.61834,             0.65058,             0.39395,            0.027531,             0.02044,            0.013803,             0.00109,             0.00109,             0.00109
